day_of_year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
49,73488.43920623981,66088.43425204363,85770.40971008141,93818.61273381437,68570.34377835182,89453.55353496355,125467.16905341213,156441.2722283879,74617.73778681837,130965.14390319595,105202.10301739896,89395.46570357925,66229.12,89424.5096192714,96606.5570756906
50,73198.88849584498,68167.50082699832,85472.567453929,92822.7554018755,72840.59296749078,90272.64920540925,119201.42855984242,167864.92579150776,74715.18964397824,129983.66108967249,104871.4203447806,90463.08972303217,66844.32,90367.86946422071,97489.55579203012
51,66058.59142291023,69039.63971500366,89709.679550015,93863.7582661956,74308.58321535423,91445.68649795743,118720.64520912989,167935.20616383088,71999.22600611168,132219.29932459266,105831.43745983938,91960.79152634124,67718.23,91703.23901214934,97757.7120297735
52,67385.60115637965,69121.22690130094,89101.75494499158,98411.06414545781,68478.2710528089,90441.08296299388,119353.91120959332,173542.42714433538,69922.37089494217,129457.23666669278,103889.26065487212,89534.86105678874,68148.25,89987.97200989131,97386.58906592977
53,70963.36944838372,66426.03640223926,89140.51523860045,100386.84509202452,64814.15639256424,91653.11382407875,119303.90677789366,163835.85977526053,71077.49775023229,128415.15401830774,103741.17839402797,90454.11006670598,67588.61,91053.61194539236,96684.31193169327
54,70980.95349962226,67402.26928655492,85745.92952464422,98359.72216745565,66258.76828835171,95250.44356997147,122970.40456494033,146147.8984530462,69829.38519192634,127019.01270414825,102547.84527110089,89555.9852535269,64652.66,92403.21441174918,95172.38481460745
55,63954.36662469681,67511.98998536849,86184.53284706046,104292.37624625946,63274.59040571187,87083.94437004034,119127.71832348513,149306.26036323432,71510.37833913135,123413.66896693438,104187.7304309283,86502.19983544495,63948.94,86793.07210274265,93862.47972819133
56,63285.000407549276,67146.25432265658,86086.61210531171,101713.76966142574,62903.942022658506,88685.218722968,115417.51295910092,145344.72868501162,73441.90591566378,123107.95159422894,104836.96285843918,83274.38324689535,68319.15,87385.91541413986,92937.02020849247
57,68617.65701316086,66783.33201119628,86725.1369421316,104046.28883445592,67405.61725167566,88046.55483119511,108723.4629011702,139128.76320005266,73251.28148711385,125052.36951456359,109941.32178876812,78764.19869917985,67588.75,87385.84588666336,93040.49870622199
58,68760.67396323441,71478.815250167,88075.62717208294,105196.17210040134,69994.00028852496,88376.03894877159,108224.15939056886,141378.1877574091,70254.23044073359,124943.42838663298,115064.62829227898,78806.7560902148,65560.05,88225.83306042726,94212.72650675171
59,64181.787020715434,70978.03872737683,87794.10503955532,105364.36133868432,68908.64228486306,87876.73668656187,107765.97063492064,136789.836030283,80636.9549890751,123506.35420248784,125995.03232080073,78762.58816644982,66909.88,87835.42086305859,94880.03395348118
60,66480.60865263549,72452.234783231,88912.0335078534,107873.03660865298,71705.26946625473,88560.85461976512,106337.32550110068,148956.91048329233,82005.07441731024,125252.29034179825,124142.27511947305,80495.56820177981,65676.54,88736.44406380926,96931.12347526225
61,64966.03570595487,76790.4224132447,88375.50944368844,111242.13261341686,72204.26958619582,88010.09930558091,105264.76130807554,144709.30841879945,82383.81923819546,124935.32708944834,126176.17678244782,88364.02248917779,69115.81,88369.76596643311,97785.15703285216
62,79290.00384487947,78728.82142561786,87210.66061996909,113083.36216935718,74722.255624497,87696.76637023859,109944.43530877071,153252.28147410016,79459.40392887761,119104.63163281846,125004.1369301296,80723.56158226605,68399.4,87453.71349510385,99018.36007596015
63,79035.62123696174,76033.63092655619,85966.25119357888,111434.2224276664,75046.40924571859,85789.77321073611,107948.20900822617,145890.19369579435,72768.18936605973,119158.72911072921,127331.1294423021,81642.42668612555,72812.18,85878.0122021575,97337.06546253792
64,78624.15443797963,78177.40458029835,84048.63666766613,112049.44095717529,75885.54146841218,88794.81603098538,107715.10192909281,147692.55783410088,73539.75019640954,119314.46588950281,136822.44809935943,84489.20246702361,71031.6,86642.0092490045,98929.4600465005
65,78424.86852394268,76700.39517319253,81865.82013285052,112784.16236651686,70036.23848765384,89100.99629990973,112219.82215270537,147340.97491527873,71923.33875933771,119347.13756828039,128800.48644349255,84511.10383943963,68374.58,86806.05006967467,97754.6120552167
66,73945.62453844216,77755.40189255383,83036.78900292917,110030.28489126191,65065.5555343561,89411.32972998002,112674.30687637585,153907.22574241328,71277.52165800589,117895.99271007771,133690.01184395564,80842.74100428866,67389.65,86224.0593664546,97461.06545205334
67,72741.70316364263,77600.66757371418,84115.95717761837,103002.63035058395,61103.9398839681,88815.12037436545,110008.1446587881,156422.68368852057,71982.87502336674,116483.22241748656,135439.25503555214,80651.03142804015,66183.95,86465.53877599191,96530.60256463726
