date,BTC Price,Bitcoin Market Cap,Bitcoin Supply,Non-Zero Address Count,Addresses Holding 0.001+ BTC,Addresses Holding 0.01+ BTC,Addresses Holding 0.1+ BTC,Metcalfe Value (Any Balance),Metcalfe Value (0.001+ BTC),Metcalfe Value (0.01+ BTC),Metcalfe Value (0.1+ BTC),Metcalfe Scale (Any Balance),Metcalfe Scale (0.001+ BTC),Metcalfe Scale (0.01+ BTC),Metcalfe Scale (0.1+ BTC),BTC Price / Metcalfe Value,Power Law Price,BTC Price / Power Law Price,Days Since Genesis,Power Law Exponent,Power Law Scale,Hash Rate (H/s),Hash Rate 30-Day MA (H/s),Hash Rate 60-Day MA (H/s),Hash Ribbon 30D / 60D,Hash Ribbon Capitulation
2020-04-02,6804.66,124536198260.55,18301604.82089617,29651973,15622759,8161055,2962284,13594.489617491836,14801.257129332205,10926.594303851643,7476.923899785154,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5005454556561315,10872.842681767084,0.6258400125121729,4107.0,5.631102078088261,4.8777174654786374e-17,1.0719727486378018e+20,1.0601948031224419e+20,1.0909763612830224e+20,0.971785311531058,True
2020-04-03,6752.22,123587603266.71,18303254.82089071,29676801,15641255,8171690,2964758,13616.037282516132,14834.987237213692,10954.103052363875,7488.742910555998,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.49590199115202815,10887.75882903445,0.6201661982072763,4108.0,5.631102078088261,4.8777174654786374e-17,9.129058246463862e+19,1.0477695328254665e+20,1.0872271343047401e+20,0.9637080420141408,True
2020-04-04,6842.1,125246127431.26,18305217.32089071,29705680,15680744,8191639,2968361,13641.087555370399,14908.390177484136,11006.471243360327,7506.150933772174,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.501580242207764,10902.69180131437,0.627560617569246,4109.0,5.631102078088261,4.8777174654786374e-17,1.092720608288856e+20,1.0415947081975226e+20,1.0883968802576779e+20,0.9569989836344672,True
2020-04-05,6770.37,123947904377.21,18307404.82089071,29758827,15725575,8213200,2971880,13688.306508375304,14991.96617904571,11063.165123378405,7523.059591015304,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4946097602254517,10917.641613483398,0.6201311821445508,4110.0,5.631102078088261,4.8777174654786374e-17,1.2102918129781634e+20,1.042161738749664e+20,1.0881945758465496e+20,0.9576979722940864,True
2020-04-06,7248.9,132720145046.11,18309004.82088525,29780768,15743882,8220795,2970457,13707.30058989345,15025.579248389393,11082.666901124538,7515.200109761585,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5288349775698868,10932.608280427627,0.6630531172490213,4111.0,5.631102078088261,4.8777174654786374e-17,9.198217778634044e+19,1.030480239321821e+20,1.0862263999763282e+20,0.9486790593050196,True
2020-04-07,7164.54,131190642933.18,18311104.82085239,29679933,15722532,8230818,2971067,13613.072975985151,14983.136504476994,11108.433796666499,7517.424772630432,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5262985082529844,10947.591817042672,0.6544398183394632,4112.0,5.631102078088261,4.8777174654786374e-17,1.161880140459037e+20,1.0286636888138103e+20,1.0876518435258633e+20,0.945765591201657,True
2020-04-08,7352.38,134643435146.69,18312904.82084693,29691141,15722989,8215206,2968589,13622.017238415785,14982.534735548983,11065.245664737153,7504.15261323805,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5397423796576452,10962.592238233696,0.6706789635354187,4113.0,5.631102078088261,4.8777174654786374e-17,1.060671024988782e+20,1.022876873968015e+20,1.0875186058089284e+20,0.9405603439834199,True
2020-04-09,7320.19,134068034106.26,18314829.82084693,29733110,15755264,8226972,2970180,13659.11861612667,15042.526739479361,11095.797783888487,7511.408814931801,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5359196450170218,10977.609558915394,0.6668291453356487,4114.0,5.631102078088261,4.8777174654786374e-17,1.1338207508500777e+20,1.0236426348854718e+20,1.0868106076438702e+20,0.941877662663468,True
2020-04-10,6844.88,125376758787.11,18316867.32084693,29766779,15787721,8236087,2973413,13688.547759348017,15102.887820570813,11119.161392418024,7526.932483397513,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5000442793740174,10992.643794012003,0.6226782317579139,4115.0,5.631102078088261,4.8777174654786374e-17,1.1923405315391136e+20,1.0304733067271052e+20,1.0907939215732864e+20,0.9447002649600588,True
2020-04-11,6854.89,125573734722.87,18318854.82084693,29808130,15825109,8251658,2974975,13725.116243056393,15172.858564370455,11160.033577577526,7534.0251996850575,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.49944130735271003,11007.694958457318,0.6227361882637675,4116.0,5.631102078088261,4.8777174654786374e-17,1.1703956137807253e+20,1.0280696947365164e+20,1.0911084975269157e+20,0.942224991434599,True
2020-04-12,7005.55,128347051504.55,18320767.32084693,29832419,15848321,8263522,2977213,13746.057938479848,15215.813247917342,11190.979462091582,7544.577125781991,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5096406570780635,11022.763067194675,0.635552987694122,4117.0,5.631102078088261,4.8777174654786374e-17,1.1191908056778183e+20,1.0305420583177649e+20,1.0913424929360308e+20,0.9442884016595973,True
2020-04-13,6845.94,125437507029.22,18322904.82084693,29828081,15846758,8271692,2977885,13740.457426719096,15211.03746973147,11211.810961589541,7547.102823225683,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.49823232134089523,11037.848135176973,0.620224152041229,4118.0,5.631102078088261,4.8777174654786374e-17,1.265490257400409e+20,1.0373425034140495e+20,1.0942724235151452e+20,0.947974636957204,True
2020-04-14,6877.04,126021791153.15,18325004.82084693,29822795,15832563,8266480,2978708,13734.01374838068,15182.058564180032,11196.403043170842,7550.409637695,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5007305312193125,11052.950177366667,0.6221904459573375,4119.0,5.631102078088261,4.8777174654786374e-17,1.2289153944697617e+20,1.0456666207912295e+20,1.0973656059692828e+20,0.952888094089309,True
2020-04-15,6619.82,121322217782.7,18327117.32081963,29750183,15847719,8277551,2983925,13665.64114082592,15209.385730233646,11225.118979241184,7576.0074744645735,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.48441342281580746,11068.069208735773,0.5981007052951139,4120.0,5.631102078088261,4.8777174654786374e-17,1.2435453396420203e+20,1.0544784030074849e+20,1.0995433714571569e+20,0.9590148332303162,True
2020-04-16,7139.11,130853049322.98,18329042.32081895,29780844,15868774,8290003,2981524,13692.385511338303,15248.224813504188,11257.734028123099,7563.026001120796,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5213927108675322,11083.205244265879,0.6441376698039192,4121.0,5.631102078088261,4.8777174654786374e-17,1.1265057782639478e+20,1.0582917327597044e+20,1.0997704775887297e+20,0.962284180495581,True
2020-04-17,7079.7,129775359942.45,18330629.82081895,29772988,15852679,8302078,2981320,13683.977347749164,15215.991416132509,11289.575546821656,7561.336194850036,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5173715083037987,11098.358298948138,0.6379051576187613,4122.0,5.631102078088261,4.8777174654786374e-17,9.3631649102458e+19,1.0615253717989704e+20,1.095153290931266e+20,0.969293870172549,True
2020-04-18,7245.7,132832554750.2,18332604.82081895,29705775,15795407,8239416,2980813,13620.795940299466,15104.61900183716,11118.598981576888,7557.950351029675,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5319586338242064,11113.52838778328,0.6519711604790561,4123.0,5.631102078088261,4.8777174654786374e-17,1.1630806411945956e+20,1.0706721152167538e+20,1.0950883397005038e+20,0.9777038768484855,True
2020-04-19,7167.55,131413480028.46,18334504.82081895,29690909,15835119,8258945,2983513,13605.756423640629,15179.09182155865,11170.210192214912,7570.8637833913235,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5268027573642323,11128.715525781616,0.6440590545598113,4124.0,5.631102078088261,4.8777174654786374e-17,1.1265057782639478e+20,1.0777768462232735e+20,1.0957018622940104e+20,0.9836406081913484,True
2020-04-20,6847.33,125556185146.36,18336517.32081895,29711722,15849916,8262479,2988912,13623.342704004193,15205.8039610722,11178.544675472329,7597.455282759694,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5026174668561646,11143.919727963033,0.6144453807234669,4125.0,5.631102078088261,4.8777174654786374e-17,1.1777105863668548e+20,1.0830227194743982e+20,1.0989720751782568e+20,0.9854870236795856,True
2020-04-21,6911.16,126739477082.45,18338379.82081895,29753578,15877534,8266856,2994029,13660.365624003662,15257.291704406018,11189.254820834169,7622.716884770151,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.505927893163846,11159.141009357007,0.6193272398121819,4126.0,5.631102078088261,4.8777174654786374e-17,1.1978964543705168e+20,1.0881186046787366e+20,1.0988433600638702e+20,0.9902399597841587,True
2020-04-22,7106.31,130329848487.1,18340017.32081895,29841163,15951981,8302598,3002642,13739.680607593793,15399.329658900937,11285.21044149367,7665.952376705598,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5172107127492039,11174.379385002601,0.6359467273446565,4127.0,5.631102078088261,4.8777174654786374e-17,1.0392346723346868e+20,1.0920400153830893e+20,1.0971007258140433e+20,0.9953871961690673,True
2020-04-23,7532.66,138162485343.34,18341792.32081895,29861286,15959505,8297952,3005548,13756.885773886775,15412.368097932143,11271.493043849307,7680.054696546258,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5475556113359931,11189.634869948479,0.6731819302013278,4128.0,5.631102078088261,4.8777174654786374e-17,1.1264986524543931e+20,1.0933845566675984e+20,1.0973277131821236e+20,0.9964065825849868,True
2020-04-24,7502.8,137628304464.64,18343592.32081895,29903149,15999744,8310971,3007322,13794.131086026095,15488.665058020673,11305.779902387087,7688.3690405460175,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5439124764879596,11204.907479252892,0.6695994602268919,4129.0,5.631102078088261,4.8777174654786374e-17,1.1582310088615592e+20,1.1064838972421556e+20,1.0984699896189238e+20,1.0072955180377863,False
2020-04-25,7514.18,137849828651.25,18345292.32081895,29909898,15997132,8310638,3007093,13799.079494218287,15482.173523929663,11303.826344625417,7686.485836977507,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5445421198673713,11220.197227983697,0.669701240300775,4130.0,5.631102078088261,4.8777174654786374e-17,1.0789001178436444e+20,1.1055621506795142e+20,1.0975901214998826e+20,1.0072632114880349,False
2020-04-26,7648.43,140325782081.69,18347004.82081895,29944512,16019254,8320568,3009830,13829.7456737699,15523.573789190705,11329.797713430367,7699.765637722004,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.5530419850385497,11235.504131218355,0.6807375895798474,4131.0,5.631102078088261,4.8777174654786374e-17,1.0868332069454356e+20,1.1060574992897688e+20,1.0981255692706175e+20,1.0072231539280336,False
