date,BTC Price,Fleet Efficiency (J/GH),Network Power Draw (W),Daily Electricity Consumption (kWh),Subsidy (BTC),Fees (BTC),Miner Revenue (BTC),Power Expense ($0.03/kWh),Power Expense ($0.04/kWh),Power Expense ($0.05/kWh),Power Expense ($0.06/kWh),Power Expense ($0.07/kWh),Power-Only Break-Even Tariff ($/kWh),Legacy PUE/Subsidy-Only Cost,Bitcoin Production Cost,Hayes Network Price,Energy Value
2025-11-30,90942.54,0.03206635935,39744364831.79152,953864755.9629965,521.875,2.13313532,524.00813532,54609.72979248649,72812.97305664867,91016.21632081082,109219.45958497298,127422.70284913517,0.04995952571761985,100527.06410148946,167545.1068358158,91388.2400922631,298343.6649894729
2025-12-01,86355.57,0.03306945917,32642857398.24219,783428577.5578126,415.625,4.10050906,419.72550906,55995.78014538695,74661.04019384927,93326.30024231158,111991.5602907739,130656.82033923622,0.046265398808153314,103671.75161667295,172786.25269445492,94247.0469242481,245152.36473840263
2025-12-02,91462.29,0.03306945917,31170247290.05081,748085934.9612194,396.875,3.90062288,400.77562288,55997.86206447073,74663.81608596098,93329.77010745123,111995.72412894147,130661.67815043172,0.04899952603263611,103671.75161667295,172786.25269445492,94247.04692424812,234092.85956223408
2025-12-03,93402.58,0.03306945917,32642857398.24219,783428577.5578126,415.625,3.62317242,419.24817242,56059.53435901772,74746.04581202364,93432.55726502955,112119.06871803544,130805.58017104137,0.049983957805551385,103671.75161667295,172786.25269445492,94247.0469242481,245269.10395970664
2025-12-04,92254.55,0.03306945917,32397422380.210293,777538137.125047,412.5,3.2272004,415.7272004,56109.25648191339,74812.34197588453,93515.42746985565,112218.51296382678,130921.59845779794,0.04932584520866245,103671.75161667295,172786.25269445492,94247.04692424812,243511.94390990218
2025-12-05,89153.45,0.03306945917,29452202163.82754,706852851.9318609,375.0,3.61351513,378.61351513,56008.52772166551,74678.03696222068,93347.54620277585,112017.05544333102,130686.5646838862,0.04775350484646638,103671.75161667293,172786.2526944549,94247.04692424812,221532.7887034213
2025-12-06,89133.05,0.03306945917,40742212993.29476,977813111.8390743,518.75,2.4507701,521.2007701,56282.32926352736,75043.10568470316,93803.88210587895,112564.65852705472,131325.4349482305,0.04751032046807677,103671.75161667295,172786.25269445492,94247.04692424813,306307.67379564
2025-12-07,90059.71,0.03306945917,39269602885.103386,942470469.2424812,500.0,1.99102947,501.99102947,56323.94289421093,75098.59052561458,93873.23815701822,112647.88578842186,131422.53341982552,0.0479687884258134,103671.75161667295,172786.25269445492,94247.04692424812,295130.8454410428
2025-12-08,90944.19,0.03306945917,36569817686.752525,877675624.4820606,465.625,2.62714322,468.25214322,56230.96256089319,74974.6167478576,93718.270934822,112461.92512178638,131205.5793087508,0.04851998926828726,103671.75161667295,172786.25269445492,94247.04692424812,274840.59981697105
2025-12-09,92566.41,0.03306945917,31661117326.114613,759866815.8267508,403.125,2.98038128,406.10538128,56133.22434426255,74844.2991256834,93555.37390710427,112266.4486885251,130977.52346994597,0.04947145531795628,103671.75161667299,172786.252694455,94247.04692424812,238119.38125702352
2025-12-10,92240.13,0.03306945917,38042427794.9439,913018267.0786536,484.375,2.68940365,487.06440365,56235.98810978231,74981.31747970973,93726.64684963717,112471.97621956462,131217.30558949205,0.04920699347538702,103671.75161667293,172786.2526944549,94247.04692424812,286112.43484371033
2025-12-11,92365.71,0.03306945917,39222343324.77601,941336239.7946242,503.125,2.66283321,505.78783321,55833.86024652281,74445.14699536374,93056.4337442047,111667.72049304562,130279.00724188656,0.04962886835632271,102903.83739369806,171506.39565616345,93548.94308518007,294916.1357412322
2025-12-12,90173.44,0.03306945917,35568087735.51117,853634105.652268,456.25,2.86009364,459.11009364,55779.6997372241,74372.93298296547,92966.16622870685,111559.3994744482,130152.63272018959,0.04849798784762382,102903.83739369808,171506.39565616348,93548.94308518006,267439.47713180067
2025-12-13,90169.92,0.03306945917,34837236617.6582,836093678.8237969,446.875,2.1866255,449.0616255,55856.05391417242,74474.7385522299,93093.42319028739,111712.10782834484,130330.79246640234,0.048429801434892124,102903.8373936981,171506.39565616348,93548.94308518007,262100.27836463283
