days_since_halving,index_value,Era
1139,inf,Genesis Era
1140,inf,Genesis Era
1141,inf,Genesis Era
1142,inf,Genesis Era
1143,inf,Genesis Era
1144,inf,Genesis Era
1145,inf,Genesis Era
1146,inf,Genesis Era
1147,inf,Genesis Era
1148,inf,Genesis Era
1149,inf,Genesis Era
1150,inf,Genesis Era
1151,inf,Genesis Era
1152,inf,Genesis Era
1153,inf,Genesis Era
1154,inf,Genesis Era
1155,inf,Genesis Era
1156,inf,Genesis Era
1157,inf,Genesis Era
1158,inf,Genesis Era
1159,inf,Genesis Era
1160,inf,Genesis Era
1161,inf,Genesis Era
1162,inf,Genesis Era
1163,inf,Genesis Era
1164,inf,Genesis Era
1165,inf,Genesis Era
1166,inf,Genesis Era
1167,inf,Genesis Era
1168,inf,Genesis Era
1169,inf,Genesis Era
1170,inf,Genesis Era
1171,inf,Genesis Era
1172,inf,Genesis Era
1173,inf,Genesis Era
1174,inf,Genesis Era
1175,inf,Genesis Era
1176,inf,Genesis Era
1177,inf,Genesis Era
1178,inf,Genesis Era
1179,inf,Genesis Era
1180,inf,Genesis Era
1181,inf,Genesis Era
1182,inf,Genesis Era
1183,inf,Genesis Era
1184,inf,Genesis Era
1185,inf,Genesis Era
1186,inf,Genesis Era
1187,inf,Genesis Era
1188,inf,Genesis Era
1189,inf,Genesis Era
1190,inf,Genesis Era
1191,inf,Genesis Era
1192,inf,Genesis Era
1193,inf,Genesis Era
1194,inf,Genesis Era
1195,inf,Genesis Era
1196,inf,Genesis Era
1197,inf,Genesis Era
1198,inf,Genesis Era
1199,inf,Genesis Era
1200,inf,Genesis Era
1201,inf,Genesis Era
1202,inf,Genesis Era
1203,inf,Genesis Era
1204,inf,Genesis Era
1205,inf,Genesis Era
1206,inf,Genesis Era
1207,inf,Genesis Era
1208,inf,Genesis Era
1209,inf,Genesis Era
1210,inf,Genesis Era
1211,inf,Genesis Era
1212,inf,Genesis Era
1213,inf,Genesis Era
1214,inf,Genesis Era
1215,inf,Genesis Era
1216,inf,Genesis Era
1217,inf,Genesis Era
1218,inf,Genesis Era
1219,inf,Genesis Era
1220,inf,Genesis Era
1221,inf,Genesis Era
1222,inf,Genesis Era
1223,inf,Genesis Era
1224,inf,Genesis Era
1225,inf,Genesis Era
1226,inf,Genesis Era
1227,inf,Genesis Era
1228,inf,Genesis Era
1229,inf,Genesis Era
1230,inf,Genesis Era
1231,inf,Genesis Era
1232,inf,Genesis Era
1233,inf,Genesis Era
1234,inf,Genesis Era
1235,inf,Genesis Era
1236,inf,Genesis Era
1237,inf,Genesis Era
1238,inf,Genesis Era
1239,inf,Genesis Era
1240,inf,Genesis Era
1241,inf,Genesis Era
1242,inf,Genesis Era
1243,inf,Genesis Era
1244,inf,Genesis Era
1245,inf,Genesis Era
1246,inf,Genesis Era
1247,inf,Genesis Era
1248,inf,Genesis Era
1249,inf,Genesis Era
1250,inf,Genesis Era
1251,inf,Genesis Era
1252,inf,Genesis Era
1253,inf,Genesis Era
1254,inf,Genesis Era
1255,inf,Genesis Era
1256,inf,Genesis Era
1257,inf,Genesis Era
1258,inf,Genesis Era
1259,inf,Genesis Era
1260,inf,Genesis Era
1261,inf,Genesis Era
1262,inf,Genesis Era
1263,inf,Genesis Era
1264,inf,Genesis Era
1265,inf,Genesis Era
1266,inf,Genesis Era
1267,inf,Genesis Era
1268,inf,Genesis Era
1269,inf,Genesis Era
1270,inf,Genesis Era
1271,inf,Genesis Era
1272,inf,Genesis Era
1273,inf,Genesis Era
1274,inf,Genesis Era
1275,inf,Genesis Era
1276,inf,Genesis Era
1277,inf,Genesis Era
1278,inf,Genesis Era
1279,inf,Genesis Era
1280,inf,Genesis Era
1281,inf,Genesis Era
1282,inf,Genesis Era
1283,inf,Genesis Era
1284,inf,Genesis Era
1285,inf,Genesis Era
1286,inf,Genesis Era
1287,inf,Genesis Era
1288,inf,Genesis Era
1289,inf,Genesis Era
1290,inf,Genesis Era
1291,inf,Genesis Era
1292,inf,Genesis Era
1293,inf,Genesis Era
1294,inf,Genesis Era
1295,inf,Genesis Era
1296,inf,Genesis Era
1297,inf,Genesis Era
1298,inf,Genesis Era
1299,inf,Genesis Era
1300,inf,Genesis Era
1301,inf,Genesis Era
1302,inf,Genesis Era
1303,inf,Genesis Era
1304,inf,Genesis Era
1305,inf,Genesis Era
1306,inf,Genesis Era
1307,inf,Genesis Era
1308,inf,Genesis Era
1309,inf,Genesis Era
1310,inf,Genesis Era
1311,inf,Genesis Era
1312,inf,Genesis Era
1313,inf,Genesis Era
1314,inf,Genesis Era
1315,inf,Genesis Era
1316,inf,Genesis Era
1317,inf,Genesis Era
1318,inf,Genesis Era
1319,inf,Genesis Era
1320,inf,Genesis Era
1321,inf,Genesis Era
1322,inf,Genesis Era
1323,inf,Genesis Era
1324,inf,Genesis Era
1325,inf,Genesis Era
1326,inf,Genesis Era
1327,inf,Genesis Era
1328,inf,Genesis Era
1329,inf,Genesis Era
1330,inf,Genesis Era
1331,inf,Genesis Era
1332,inf,Genesis Era
1333,inf,Genesis Era
1334,inf,Genesis Era
1335,inf,Genesis Era
1336,inf,Genesis Era
1337,inf,Genesis Era
1338,inf,Genesis Era
1339,inf,Genesis Era
1340,inf,Genesis Era
1341,inf,Genesis Era
1342,inf,Genesis Era
1343,inf,Genesis Era
1344,inf,Genesis Era
1345,inf,Genesis Era
1346,inf,Genesis Era
1347,inf,Genesis Era
1348,inf,Genesis Era
1349,inf,Genesis Era
1350,inf,Genesis Era
1351,inf,Genesis Era
1352,inf,Genesis Era
1353,inf,Genesis Era
1354,inf,Genesis Era
1355,inf,Genesis Era
1356,inf,Genesis Era
1357,inf,Genesis Era
1358,inf,Genesis Era
1359,inf,Genesis Era
1360,inf,Genesis Era
1361,inf,Genesis Era
1362,inf,Genesis Era
1363,inf,Genesis Era
1364,inf,Genesis Era
1365,inf,Genesis Era
1366,inf,Genesis Era
1367,inf,Genesis Era
1368,inf,Genesis Era
1369,inf,Genesis Era
1370,inf,Genesis Era
1371,inf,Genesis Era
1372,inf,Genesis Era
1373,inf,Genesis Era
1374,inf,Genesis Era
1375,inf,Genesis Era
1376,inf,Genesis Era
1377,inf,Genesis Era
1378,inf,Genesis Era
1379,inf,Genesis Era
1380,inf,Genesis Era
1381,inf,Genesis Era
1382,inf,Genesis Era
1383,inf,Genesis Era
1384,inf,Genesis Era
1385,inf,Genesis Era
1386,inf,Genesis Era
1387,inf,Genesis Era
1388,inf,Genesis Era
1389,inf,Genesis Era
1390,inf,Genesis Era
1391,inf,Genesis Era
1392,inf,Genesis Era
1393,inf,Genesis Era
1394,inf,Genesis Era
1395,inf,Genesis Era
1396,inf,Genesis Era
1397,inf,Genesis Era
1398,inf,Genesis Era
1399,inf,Genesis Era
1400,inf,Genesis Era
1401,inf,Genesis Era
1402,inf,Genesis Era
1403,inf,Genesis Era
1404,inf,Genesis Era
1405,inf,Genesis Era
1406,inf,Genesis Era
1407,inf,Genesis Era
1408,inf,Genesis Era
1409,inf,Genesis Era
1410,inf,Genesis Era
1411,inf,Genesis Era
1412,inf,Genesis Era
1413,inf,Genesis Era
1414,inf,Genesis Era
1415,inf,Genesis Era
1416,inf,Genesis Era
1417,inf,Genesis Era
1418,inf,Genesis Era
1419,inf,Genesis Era
1420,inf,Genesis Era
1421,inf,Genesis Era
1422,inf,Genesis Era
1423,inf,Genesis Era
1424,inf,Genesis Era
1425,inf,Genesis Era
0,1.0,2nd Era
1,1.0122749590834696,2nd Era
2,1.0171849427168576,2nd Era
3,1.013911620294599,2nd Era
4,1.0163666121112929,2nd Era
5,1.0286415711947627,2nd Era
6,1.030278232405892,2nd Era
7,1.0801963993453354,2nd Era
8,1.092471358428805,2nd Era
9,1.0941080196399344,2nd Era
10,1.0932896890343697,2nd Era
11,1.0801963993453354,2nd Era
12,1.0875613747954171,2nd Era
