Time,Open,High,Low,Close
2022-12-19,16780.05,16962.98,16406.79,16793.75
2022-12-26,16795.89,16890.24,16422.34,16595.3
2023-01-02,16596.0,16981.79,16569.41,16969.87
2023-01-09,16982.0,20970.3,16978.55,20876.41
2023-01-16,20876.2,23184.83,20666.48,22657.21
2023-01-23,22662.73,23796.95,22426.45,23726.92
2023-01-30,23726.67,24016.29,22670.07,22913.65
2023-02-06,22914.93,23242.74,21610.9,21809.62
2023-02-13,21799.18,24963.73,21458.73,24385.35
2023-02-20,24340.39,25074.27,22906.5,23458.06
2023-02-27,23455.49,23731.6,22153.75,22387.51
2023-03-06,22388.67,22454.82,19719.45,21884.38
2023-03-13,21932.11,28253.6,21932.11,28185.87
2023-03-20,28177.19,28605.43,26940.9,28053.7
2023-03-27,28013.96,28618.48,26720.93,28157.52
2023-04-03,28165.75,28534.4,27559.57,28371.32
2023-04-10,28340.86,30887.81,28192.09,30262.07
2023-04-17,30254.78,30347.16,27224.85,27549.28
2023-04-24,27551.27,29836.81,27237.52,29406.06
2023-05-01,29356.95,29536.02,27840.05,28821.39
2023-05-08,28767.93,28773.69,26269.92,26907.9
2023-05-15,26912.21,27531.09,26606.41,26795.62
2023-05-22,26777.53,28132.44,26049.69,28132.44
2023-05-29,28154.05,28211.03,26667.29,27209.2
2023-06-05,27194.73,27217.12,25448.77,25960.98
2023-06-12,25967.71,26623.9,24830.56,26317.73
2023-06-19,26318.56,31180.87,26305.32,30513.81
2023-06-26,30518.39,30921.22,30064.98,30554.3
2023-07-03,30559.53,31250.0,29880.09,30189.16
2023-07-10,30187.93,31571.64,30046.49,30229.08
2023-07-17,30218.35,30254.94,29710.21,29994.74
2023-07-24,29973.9,30076.16,29064.64,29186.57
2023-07-31,29191.74,29852.76,28812.87,29076.72
2023-08-07,29082.11,29912.79,28839.58,29219.45
2023-08-14,29214.0,29542.39,25778.02,26169.54
2023-08-21,26173.12,26597.52,25692.87,26018.57
2023-08-28,26017.78,27888.67,25420.23,25979.4
2023-09-04,25984.21,26307.99,25461.03,25750.34
2023-09-11,25741.05,26639.26,25091.52,26470.87
2023-09-18,26512.63,27275.42,26423.05,26423.05
2023-09-25,26364.5,27871.17,26001.39,27869.89
2023-10-02,27884.1,28417.11,27245.54,27875.8
2023-10-09,27872.18,27898.31,26604.44,27162.52
2023-10-16,27173.44,30177.32,27173.44,29907.61
2023-10-23,29904.65,34761.35,29871.93,34645.28
2023-10-30,34629.53,35812.18,34252.43,34882.16
2023-11-06,35022.98,37615.65,34677.39,37125.04
2023-11-13,37134.34,37722.25,35387.09,37189.08
2023-11-20,37255.1,38138.55,35936.18,37550.45
2023-11-27,37550.59,39881.39,36752.1,39855.54
2023-12-04,39850.27,44431.23,39850.27,43674.49
2023-12-11,43675.79,43682.68,40647.21,41634.59
2023-12-18,41505.56,44138.46,40757.56,43131.54
2023-12-25,43118.24,43665.84,41695.76,42297.77
2024-01-01,42298.29,45701.67,42125.47,43835.75
2024-01-08,43837.38,48407.79,42121.7,42191.64
2024-01-15,41870.77,43365.11,40499.3,41656.64
2024-01-22,41641.43,42632.51,38549.96,41772.97
2024-01-29,41802.96,43627.07,41801.66,42645.72
2024-02-05,42630.36,48397.89,42231.64,48032.38
2024-02-12,48078.91,52439.17,47837.49,52026.9
2024-02-19,51997.11,52456.67,50684.11,51844.31
2024-02-26,51850.2,62964.66,51122.3,62964.66
2024-03-04,63020.26,69946.23,62316.66,68616.71
