time,PriceUSD,realised_price,thermocap_price,200_day_ma_priceUSD,Lagged_Energy_Value,mvrv_ratio,thermocap_multiple,200_day_multiple,Energy_Value_Multiple,PriceUSD_4_Year_CAGR,realised_price_4_Year_CAGR,thermocap_price_4_Year_CAGR,200_day_ma_priceUSD_4_Year_CAGR,Lagged_Energy_Value_4_Year_CAGR
2012-12-19,13.5385431800117,7.42192783571221,3.6327065827613785,10.327815545464643,32.99149947544976,1.824127568967738,3.7268474267251346,1.3108815819195199,0.41036459073605464,,,,,
2012-12-20,13.5700270263004,7.435406562270044,3.6352358631652564,10.369602155672123,32.99976974721422,1.8250551483169255,3.732915149688462,1.30863526127448,0.4112158093904869,,,,,
2012-12-21,13.4289680023378,7.444619237504994,3.6381995586237,10.410453166396847,33.009600446641905,1.8038488704277125,3.6911026418292088,1.289950378498815,0.40682007115005664,,,,,
2012-12-22,13.4272139129164,7.4477811854182,3.6417890971743927,10.450459164487143,33.021537727082226,1.8028475298395126,3.686982841300273,1.2848443978944863,0.4066198862054879,,,,,
2012-12-23,13.3181057568673,7.449267163196815,3.6446184140402345,10.489818846161604,33.031056343786084,1.787841067463058,3.654183852433413,1.2696220928296214,0.40319951073477395,,,,,
2012-12-24,13.4266626715371,7.452951359577411,3.647701991192847,10.529016310470489,33.04135517510163,1.8015229167279043,3.6808551531772475,1.2752058003923,0.4063593215345715,,,,,
2012-12-25,13.3655670046756,7.455357640478934,3.650577663294775,10.567731499985392,33.051029836288386,1.7927465923441588,3.6612197403883475,1.2647527054121386,0.4043918471188112,,,,,
2012-12-26,13.4546990175336,7.461393959383097,3.6541768442819405,10.607219983395678,31.097571713224475,1.8032420068925064,3.6820054394979613,1.2684472499481774,0.43266076019086364,,,,,
2012-12-27,13.3993031811806,7.465426466071479,3.6578097452567877,10.646927031455292,29.242376829940117,1.794847654327201,3.66320397023272,1.258513667050942,0.4582152558632505,,,,,
2012-12-28,13.4555072215079,7.474532735036836,3.6617615091749105,10.686269582654884,29.25403446897531,1.80018038564943,3.674599557560966,1.25913978843916,0.45995389920586266,,,,,
2012-12-29,13.3740038603156,7.475858770508048,3.665096473964994,10.724502145463182,29.263967603202637,1.788958870260563,3.6490182333037646,1.247051255052734,0.457012666281518,,,,,
2012-12-30,13.445013798948,7.482645321121342,3.668963920039106,10.762180707838986,29.275418292169217,1.7968262856180843,3.6645260329528377,1.249283408626923,0.45925949425441215,,,,,
2012-12-31,13.5455524436002,7.507425932239808,3.672671247635333,10.800098354146698,29.286317149695943,1.8042871905575955,3.6882017284616935,1.2542063969629855,0.4625215377666848,,,,,
2013-01-01,13.3313714219755,7.5092228310320435,3.6763884901722403,10.834138307660728,29.297491920873224,1.7753330433721164,3.626214002577001,1.2304966988052017,0.4550345626165174,,,,,
2013-01-02,13.2806068129749,7.510485524340351,3.679885691692049,10.868320550314147,29.308045879094184,1.7682754024269747,3.6089726490575695,1.221955752178383,0.4531385977680666,inf,inf,inf,inf,inf
2013-01-03,13.3840811484512,7.517555824774579,3.6836331213217344,10.904241123616309,29.319220654410113,1.7803766889689225,3.6333914664250884,1.227419771511112,0.45649511991506514,inf,inf,inf,inf,inf
2013-01-04,13.4517211496201,7.528792107867273,3.687195724800156,10.939945506021333,29.32977460573302,1.7867037576404343,3.64822541400326,1.2295967235135028,0.45863704479306583,inf,inf,inf,inf,inf
2013-01-05,13.459406766803,7.534315445455419,3.6904751933023525,10.974768406275572,29.339500798169478,1.786414023177315,3.6470660448361127,1.2263955163834406,0.45874695889995326,inf,inf,inf,inf,inf
2013-01-06,13.5044965078901,7.539680702512891,3.6938641202869023,11.008823133537408,29.34950291529324,1.79112313116777,3.6559267120094296,1.2266975628620866,0.46012692435936514,inf,inf,inf,inf,inf
2013-01-07,13.5560616578025,7.547537975430455,3.6978027925849752,11.043242129307425,29.361091575570686,1.7960905532283016,3.6659774515249475,1.2275436415385983,0.4617015557106042,inf,inf,inf,inf,inf
2013-01-08,13.7803506312098,7.5689196657865505,3.7009945167559235,11.079325073974287,30.83055739084528,1.8206496091510265,3.723418278200761,1.2437897199695236,0.4469705317524259,inf,inf,inf,inf,inf
2013-01-09,13.8209552565751,7.578170609552766,3.704125475037547,11.116192141811807,32.04057668298161,1.823785180971369,3.731233012951594,1.2433174130365876,0.4313578807686104,inf,inf,inf,inf,inf
2013-01-10,14.12317285564,7.604105660426582,3.707924669280938,11.155055535897139,32.051635303572404,1.85730886528051,3.808915799354372,1.2660782198879614,0.44063813661532153,inf,inf,inf,inf,inf
2013-01-11,14.2276211227352,7.62155316404033,3.710870211639364,11.194606273360613,32.06043706429243,1.8667613826881535,3.8340390019864943,1.2709353750646988,0.44377502072737895,inf,inf,inf,inf,inf
2013-01-12,14.2142856560491,7.629797125911062,3.713924187132822,11.23351339749708,32.06961497333942,1.8629965412549279,3.827295588126325,1.265346392804958,0.4432321893438985,inf,inf,inf,inf,inf
2013-01-13,14.1607882670953,7.640688045134644,3.7172352084774123,11.271238771824958,32.07962039576682,1.8533394091534012,3.8094948188375706,1.2563648551651159,0.44142630406449385,inf,inf,inf,inf,inf
2013-01-14,14.3179703202805,7.6538555489796165,3.721183111840016,11.309878300261543,32.0914313054892,1.8706872933066157,3.8476930293281604,1.2659703261306883,0.4461617864277505,inf,inf,inf,inf,inf
2013-01-15,14.3136377516072,7.669717305816416,3.72423207956044,11.348152605233784,30.59971074871206,1.8662536285075708,3.843379640641674,1.2613187581744125,0.4677703612675378,inf,inf,inf,inf,inf
2013-01-16,14.7078140479252,7.694722596704906,3.72765846311554,11.388289537358274,30.609104951857933,1.911415761007875,3.94559056132856,1.2914857845576828,0.4805045450057322,inf,inf,inf,inf,inf
2013-01-17,15.598599739626,7.752293434120595,3.730801356454531,11.433148235594686,30.61706492728932,2.012127104344506,4.181031968544613,1.3643311027021465,0.5094740392872473,inf,inf,inf,inf,inf
2013-01-18,15.7157911239042,7.784336733001037,3.7342520995994484,11.478009800959969,30.625742018012023,2.018899189866547,4.208551191707154,1.3692087214100308,0.5131562564153129,inf,inf,inf,inf,inf
2013-01-19,15.5881263997662,7.799527180769072,3.7386182728915607,11.523700470942435,30.63678559063075,1.9985988943279935,4.169488635091347,1.3527014554979462,0.5088042397154522,inf,inf,inf,inf,inf
2013-01-20,15.7195921373466,7.813889758485028,3.7423099975179057,11.569724254963473,30.646108085115834,2.0117499252247377,4.200505075146807,1.358683386996264,0.5129392643818702,inf,inf,inf,inf,inf
2013-01-21,16.7810195207481,7.877823479486569,3.746383223760634,11.620417359545588,30.655574001224903,2.1301593726293784,4.479258665882891,1.4440978324210823,0.5474051642313917,inf,inf,inf,inf,inf
2013-01-22,17.3001788386908,7.971147349079823,3.7510030654735953,11.67355734779223,30.66590045424923,2.1703498983352634,4.612147347447317,1.481997160185512,0.5641503618816318,inf,inf,inf,inf,inf
2013-01-23,17.5363954228521,8.0236387742289,3.755134344403676,11.727197956347167,29.980773560926103,2.1855913403251894,4.669978172415273,1.4953610818312137,0.5849213792704554,inf,inf,inf,inf,inf
2013-01-24,16.90108607218,8.04991761370176,3.7599960677613,11.777721798268558,28.034717706448117,2.0995352851080953,4.494974400928803,1.4350046945976112,0.6028627164771726,inf,inf,inf,inf,inf
2013-01-25,17.4072020292227,8.08796497483507,3.764432424081349,11.829595828984514,28.04369330585807,2.1522350904564425,4.62412392313581,1.4714959226732078,0.6207171729975557,inf,inf,inf,inf,inf
2013-01-26,17.5536291760608,8.123405688210593,3.7695351037378613,11.88147107468656,28.053913694533776,2.16087068032761,4.656709300479697,1.4773952708144662,0.6257105289192172,inf,inf,inf,inf,inf
2013-01-27,17.8646280148217,8.191778251097052,3.7745812499582856,11.934868475815605,28.063806507707337,2.18079975644229,4.7328767966033665,1.4968433084136579,0.6365718068187017,inf,inf,inf,inf,inf
2013-01-28,18.7942648743425,8.260250005090825,3.7798112954816108,11.991060121936298,28.073437260741862,2.2752658651686715,4.972275969652024,1.5673564041231434,0.6694678923633111,inf,inf,inf,inf,inf
2013-01-29,19.5147141861484,8.396423196392938,3.7856996921385164,12.050479086587083,28.083788684073063,2.3241699149385213,5.154850033845307,1.6194139706751962,0.6948746981996636,inf,inf,inf,inf,inf
2013-01-30,19.7374466864407,8.487124804002482,3.7914547087246944,12.111265674127997,28.093812522730307,2.325575167356161,5.205771452583077,1.6296766347553333,0.7025549369802127,inf,inf,inf,inf,inf
